Title,Author,Goodreads Rating,Kindle Price,Hardcover Price New,Hardcover Price Used,Paperback Price New,Paperback Price New
"Ottolenghi SIMPLE","Yotam Ottolenghi","4.25","9.99","13.00","13.64","—","—"
"Our Man in Havana","Graham Greene","3.94","0.99","6.38","5.00","9.99","0.01"
"The Heart of the Matter","Graham Greene","3.99","4.99","19.95","27.47","8.31","1.73"
"The Quiet American","Graham Greene","3.97","4.99","—","0.26","5.58","0.03"
"Graham Greene: A Life in Letters","Graham Greene","4.07","—","—","0.01","—","—"
"A Sort Of Life","Graham Greene","3.70","5.49","—","0.01","8.99","1.72"
"Middlesex","Jeffrey Eugenides","3.99","4.27","8.57","6.29","7.72","2.54"
"The Guernsey Literary and Potato Peel Pie Society","Mary Ann Shaffer","4.15","4.27","—","1.80","4.50","0.01"
"The Sisterhood: A Love Letter to the Women Who Have Shaped Me","Daisy Buchanan","4.62","7.99","—","—","10.31","9.43"
"The Life and Times of the Thunderbolt Kid","Bill Bryson","3.94","5.49","—","0.01","6.48","0.02"
"The Argonauts","Maggie Nelson","4.03","—","—","26.70","—","—"
"Natives: Race and Class in the Ruins of Empire","Akala","4.61","—","—","—","—","—"
"The Color Purple","Alice Walker","4.19","5.99","—","—","5.99","4.59"
"Frenchman's Creek","Daphne du Maurier","3.93","5.99","14.99","6.11","6.91","4.06"
"The Diary of a Bookseller","Shaun Bythell","3.86","5.43","—","3.09","5.76","1.41"
"Four Feet Under: Thirty Untold Stories of Homelessness in London","Tamsen Courtenay","4.44","3.20","12.84","13.96","—","—"
"Liquid Rules: The Delightful and Dangerous Substances That Flow Through Our Lives","Mark Miodownik","4.27","—","—","18.92","—","—"
"Ten Arguments For Deleting Your Social Media Accounts Right Now","Jaron Lanier","3.57","4.99","6.15","2.49","9.96","—"
"The Widows of Malabar Hill (Perveen Mistry, #1)","Sujata Massey","3.93","6.37","—","—","8.46","5.80"
"Make It Ahead: A Barefoot Contessa Cookbook","Ina Garten","4.12","16.99","18.99","13.99","—","—"
"The Order of Time","Carlo Rovelli","4.08","8.99","8.91","5.04","7.91","—"
"She Has Her Mother's Laugh: The Powers, Perversions, and Potential of Heredity","Carl Zimmer","4.16","12.34","16.03","15.24","11.43","—"
"Broad Band: The Untold Story of the Women Who Made the Internet","Claire L.  Evans","4.01","11.99","16.80","5.51","—","—"
"The Girl Who Smiled Beads: A Story of War and What Comes After","Clemantine Wamariya","4.21","4.99","11.20","4.42","9.99","5.39"
"Heart Berries","Terese Marie Mailhot","3.89","5.78","9.33","7.38","8.99","3.59"
"Skin in the Game: Hidden Asymmetries in Daily Life","Nassim Nicholas Taleb","3.85","9.99","20.00","8.36","6.78","3.06"
"Morvern Callar","Alan Warner","3.69","—","—","—","8.06","4.45"
"Calypso","David Sedaris","4.21","6.99","13.21","9.14","8.79","—"
"Fruit of the Drunken Tree","Ingrid Rojas Contreras","3.96","—","15.07","11.67","12.29","—"
"Transcription","Kate Atkinson","3.56","4.99","10.00","4.15","6.47","—"
"The Food Explorer: The True Adventures of the Globe-Trotting Botanist Who Transformed What America Eats","Daniel Stone","4.07","10.99","20.88","7.12","12.48","7.95"
"The Aran Islands","J.M. Synge","3.81","0.90","18.95","24.64","1.80","—"
"The Library Book","Susan Orlean","4.06","7.19","13.49","11.94","—","—"
"The People in the Trees","Hanya Yanagihara","3.68","5.69","—","64.00","8.99","2.93"
"The Pragmatic Programmer: From Journeyman to Master","Andy Hunt","4.31","14.85","—","—","29.27","27.70"
"The Most of Nora Ephron","Nora Ephron","4.26","1.49","—","3.01","9.18","1.04"
"I Feel Bad about My Neck: And Other Thoughts on Being a Woman","Nora Ephron","3.68","4.99","—","0.01","6.47","0.01"
"Things I Don't Want to Know","Deborah Levy","4.19","3.49","12.48","5.59","5.00","2.04"
"Little Fires Everywhere","Celeste Ng","4.13","3.99","—","1.05","6.47","3.50"
"Books v. Cigarettes","George Orwell","3.92","2.99","—","—","—","—"
"Why I Write","George Orwell","4.03","3.49","—","—","—","—"
"Coming Up for Air","George Orwell","3.79","0.95","—","10.67","7.23","1.25"
"Facts Are Subversive: Political Writing from a Decade without a Name","Timothy Garton Ash","3.72","6.64","—","3.15","7.95","1.08"
"Dancing Fish and Ammonites: A Memoir","Penelope Lively","3.61","—","—","0.01","7.72","0.01"
"The Letters Of Evelyn Waugh","Evelyn Waugh","4.13","—","—","2.77","—","5.15"
"Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys","Viv Albertine","4.24","5.03","—","40.11","6.99","3.47"
"Naked","David Sedaris","4.09","6.99","—","0.01","8.89","0.19"
"The Immeasurable World: Journeys in Desert Places","William Atkins","3.46","6.99","13.22","7.99","10.99","—"
"Sea Room: An Island Life in the Hebrides","Adam Nicolson","3.94","3.24","—","0.91","7.19","0.02"
"The Road to Lichfield","Penelope Lively","3.80","4.99","—","0.01","8.17","2.92"
"To Be a Machine : Adventures Among Cyborgs, Utopians, Hackers, and the Futurists Solving the Modest Problem of Death","Mark O'Connell","3.82","6.64","—","0.01","6.99","1.36"
"The Wife","Meg Wolitzer","3.69","—","—","—","—","—"
