Title,Author,Goodreads Rating,Kindle Price,Hardcover Price New,Hardcover Price Used,Paperback Price New,Paperback Price New,link
"Family Romance: A Love Story","John Lanchester","3.86","6.02","—","1.26","8.19","2.00","https://www.amazon.co.uk/gp/product/0399153004"
"Fragrant Harbour","John Lanchester","3.77","5.03","—","1.00","6.99","1.78","https://www.amazon.co.uk/gp/product/057121469X"
"Leaving Atlanta","Tayari Jones","4.00","6.99","—","8.58","—","11.82","https://www.amazon.co.uk/gp/product/0446690899"
"Silver Sparrow","Tayari Jones","3.87","—","—","13.41","—","24.11","https://www.amazon.co.uk/gp/product/1565129903"
"The Ragged Trousered Philanthropists","Robert Tressell","3.98","0.00","19.99","37.57","2.25","0.99","https://www.amazon.co.uk/gp/product/0586090363"
"Waterlog","Roger  Deakin","4.32","5.49","—","82.00","8.19","8.93","https://www.amazon.co.uk/gp/product/0099282550"
"Nudge: Improving Decisions About Health, Wealth, and Happiness","Richard H. Thaler","3.84","5.49","15.76","5.44","8.19","5.38","https://www.amazon.co.uk/gp/product/014311526X"
"Misbehaving: The Making of Behavioral Economics","Richard H. Thaler","4.18","5.49","—","31.01","8.19","9.49","https://www.amazon.co.uk/gp/product/039335279X"
"Test Driven Development: By Example","Kent Beck","4.07","—","—","—","28.40","24.99","https://www.amazon.co.uk/gp/product/0321146530"
"Overcoming Relationship Problems","Michael Crowe","3.42","3.99","—","—","—","0.50","https://www.amazon.co.uk/gp/product/1845290666"
"Little Man, What Now?","Hans Fallada","3.99","4.99","—","45.53","7.37","—","https://www.amazon.co.uk/gp/product/0897330862"
"My Wild and Sleepless Nights: A Mother's Story","Clover Stroud","4.23","9.99","10.80","12.82","—","—","https://www.amazon.co.uk/gp/product/0857525905"
"How to Have Impossible Conversations: A Very Practical Guide","Peter Boghossian","4.09","7.99","—","—","10.96","12.37","https://www.amazon.co.uk/gp/product/0738285323"
"The Hate U Give","Angie Thomas","4.51","6.22","13.49","12.46","6.55","2.83","https://www.amazon.co.uk/gp/product/0062498533"
"Why I'm No Longer Talking to White People About Race","Reni Eddo-Lodge","4.37","5.78","16.99","8.75","7.37","7.81","https://www.amazon.co.uk/gp/product/140887055X"
"La Belle Sauvage (The Book of Dust, #1)","Philip Pullman","4.17","4.99","15.48","1.61","4.00","6.65","https://www.amazon.co.uk/gp/product/0375815309"
