Title,Author,Goodreads Rating,Kindle Price,Hardcover Price New,Hardcover Price Used,Paperback Price New,Paperback Price New
"Ottolenghi SIMPLE","Yotam Ottolenghi","4.24","9.99","15.47","13.64","—","—"
"Our Man in Havana","Graham Greene","3.94","0.99","6.38","5.00","9.99","0.65"
"The Heart of the Matter","Graham Greene","3.99","4.99","19.95","27.47","8.31","1.34"
"The Quiet American","Graham Greene","3.97","4.99","—","0.26","5.58","0.03"
"Graham Greene: A Life in Letters","Graham Greene","4.07","—","—","0.01","—","—"
"A Sort Of Life","Graham Greene","3.70","5.49","—","0.01","8.99","2.10"
"Middlesex","Jeffrey Eugenides","3.99","4.29","8.85","6.29","7.77","1.00"
"The Guernsey Literary and Potato Peel Pie Society","Mary Ann Shaffer","4.15","4.27","—","0.01","5.01","0.01"
"The Sisterhood: A Love Letter to the Women Who Have Shaped Me","Daisy Buchanan","4.60","7.99","—","—","10.42","9.53"
"The Life and Times of the Thunderbolt Kid","Bill Bryson","3.94","5.49","—","0.01","6.48","0.01"
"The Argonauts","Maggie Nelson","4.03","—","—","26.70","—","—"
"Natives: Race and Class in the Ruins of Empire","Akala","4.61","—","—","—","—","—"
"The Color Purple","Alice Walker","4.19","5.99","—","—","5.99","5.08"
"Frenchman's Creek","Daphne du Maurier","3.93","5.99","14.99","6.16","7.16","0.01"
"The Diary of a Bookseller","Shaun Bythell","3.86","5.43","—","3.59","6.01","4.65"
"Four Feet Under: Thirty Untold Stories of Homelessness in London","Tamsen Courtenay","4.42","3.20","12.85","12.45","—","—"
"Liquid Rules: The Delightful and Dangerous Substances That Flow Through Our Lives","Mark Miodownik","4.29","—","—","—","—","—"
"Ten Arguments For Deleting Your Social Media Accounts Right Now","Jaron Lanier","3.58","—","—","—","—","—"
"The Widows of Malabar Hill (Perveen Mistry, #1)","Sujata Massey","3.93","6.48","13.88","13.82","8.46","5.80"
"Make It Ahead: A Barefoot Contessa Cookbook","Ina Garten","4.12","16.99","18.99","14.00","—","—"
"The Order of Time","Carlo Rovelli","4.08","8.99","8.17","5.00","7.91","—"
"She Has Her Mother's Laugh: The Powers, Perversions, and Potential of Heredity","Carl Zimmer","4.16","12.34","16.03","13.39","11.43","—"
"Broad Band: The Untold Story of the Women Who Made the Internet","Claire L.  Evans","4.01","11.99","17.96","5.51","—","—"
"The Girl Who Smiled Beads: A Story of War and What Comes After","Clemantine Wamariya","4.21","4.99","11.20","2.25","9.99","5.47"
"Heart Berries","Terese Marie Mailhot","3.89","—","—","—","—","—"
"Skin in the Game: Hidden Asymmetries in Daily Life","Nassim Nicholas Taleb","3.85","9.99","13.00","10.83","6.99","3.99"
"Morvern Callar","Alan Warner","3.69","—","—","—","8.99","4.45"
"Calypso","David Sedaris","4.21","6.99","13.21","7.25","8.79","—"
"Fruit of the Drunken Tree","Ingrid Rojas Contreras","3.95","—","15.39","11.67","12.29","—"
"Transcription","Kate Atkinson","3.56","—","—","—","—","—"
"The Food Explorer: The True Adventures of the Globe-Trotting Botanist Who Transformed What America Eats","Daniel Stone","4.07","—","—","—","—","—"
"The Aran Islands","J.M. Synge","3.81","—","—","—","—","—"
"The Library Book","Susan Orlean","4.06","7.19","13.54","11.94","—","—"
"The People in the Trees","Hanya Yanagihara","3.68","—","—","—","—","—"
"The Pragmatic Programmer: From Journeyman to Master","Andy Hunt","4.31","14.85","—","—","36.99","27.99"
"The Most of Nora Ephron","Nora Ephron","4.26","—","—","—","—","—"
"I Feel Bad about My Neck: And Other Thoughts on Being a Woman","Nora Ephron","3.68","4.99","—","0.01","6.47","0.95"
"Things I Don't Want to Know","Deborah Levy","4.19","—","—","—","—","—"
"Little Fires Everywhere","Celeste Ng","4.13","—","—","—","—","—"
"Books v. Cigarettes","George Orwell","3.92","—","—","—","—","—"
"Why I Write","George Orwell","4.03","—","—","—","—","—"
"Coming Up for Air","George Orwell","3.79","—","—","—","—","—"
"Facts Are Subversive: Political Writing from a Decade without a Name","Timothy Garton Ash","3.72","—","—","—","—","—"
"Dancing Fish and Ammonites: A Memoir","Penelope Lively","3.61","—","—","0.01","9.31","0.01"
