title,author,isbn,avg rating,shelves,date added
"Black Sea: Dispatches and Recipes, Through Darkness and Light","Eden, Caroline",1787131319,4.08,"to-read, xmas-wish-list
[edit]","Nov 20, 2020"
Convenience Store Woman,"Murata, Sayaka",,3.72,"to-read, xmas-wish-list
[edit]","Nov 20, 2020"
Shuggie Bain,"Stuart, Douglas",802148042,4.43,"to-read, xmas-wish-list
[edit]","Nov 08, 2020"
Hamnet,"O'Farrell, Maggie *",525657606,4.37,"to-read, xmas-wish-list
[edit]","Oct 31, 2020"
A Long Petal of the Sea,"Allende, Isabel *",198482015X,4.08,"to-read, xmas-wish-list
[edit]","Oct 31, 2020"
The Adventurer's Son,"Dial, Roman *",62876600,3.92,"to-read, xmas-wish-list
[edit]","Oct 31, 2020"
Two Lives,"Seth, Vikram",60599677,3.66,"to-read, xmas-wish-list
[edit]","Sep 13, 2020"
The Yellow House,"Broom, Sarah M.",802125085,3.94,"to-read, xmas-wish-list
[edit]","Aug 02, 2020"
"Grief Works: Stories of Life, Death and Surviving","Samuel, Julia",024127074X,3.91,"to-read, xmas-wish-list
[edit]","Jul 05, 2020"
A Ladder to the Sky,"Boyne, John",1984823019,4.21,"to-read, xmas-wish-list
[edit]","Jul 03, 2020"
Uncanny Valley,"Wiener, Anna *",374278016,3.68,"to-read, xmas-wish-list
[edit]","Jun 28, 2020"
"The Art of Dying (Raven, Fisher, and Simpson, #2)","Parry, Ambrose",,4.17,"to-read, xmas-wish-list
[edit]","Jun 28, 2020"
To the Lake: A Balkan Journey of War and Peace,"Kassabova, Kapka *",1644450267,4.3,"to-read, xmas-wish-list
[edit]","Jun 28, 2020"
The Labyrinth of the Spirits,"Ruiz Zafón, Carlos",1443457132,4.49,"to-read, xmas-wish-list
[edit]","Jun 21, 2020"
"The Secret Commonwealth (The Book of Dust, #2)","Pullman, Philip",1448194512,4.07,"to-read, xmas-wish-list
[edit]","May 22, 2020"
Waterlog,"Deakin, Roger",99282550,4.32,"to-read, xmas-wish-list
[edit]","Apr 19, 2020"
More Lives Than One: A Biography of Hans Fallada,"Williams, Jenny",,4.19,"to-read, xmas-wish-list
[edit]","Feb 29, 2020"
My Wild and Sleepless Nights: A Mother's Story,"Stroud, Clover",857525905,4.1,"to-read, xmas-wish-list
[edit]","Feb 22, 2020"
Being Mortal: Medicine and What Matters in the End,"Gawande, Atul",805095152,4.43,"to-read, xmas-wish-list
[edit]","Feb 02, 2020"
Two Caravans,"Lewycka, Marina",1905490321,3.51,"to-read, queued
[edit]","Aug 15, 2019"
I Never Said I Loved You,"Samadder, Rhik",,4.07,"to-read, library
[edit]","Sep 29, 2019"
"Moby-Dick or, the Whale","Melville, Herman",142437247,3.51,"to-read, library
[edit]","Aug 15, 2019"
Grime Kids: The Inside Story of the Global Grime Takeover,"Target, Dj",1409179516,3.95,"to-read, library
[edit]","Aug 15, 2019"
Afropean: Notes from Black Europe,"Pitts, Johny",141984724,4.3,"to-read, library
[edit]","Jul 03, 2019"
The Book You Wish Your Parents Had Read,"Perry, Philippa",,4.11,"to-read, library
[edit]","Jul 03, 2019"
